商品名称,商品图片,店铺名,商品售价,国家/地区,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量,TikTok官网商品详情页,商品状态
"【Precio con Oferta Solo en TikTok】QUARXERY Gel Exfoliante con Actualización Tecnológica (Envío Gratuito) — Limpieza Profunda para Rostro y Cuerpo, Limpia Poros y Puntos Negros, Hidrata y Controla la Grasa, Ilumina el Tono de la Piel, Reduce la Pigmentación Cutánea, 50 gramos - B",https://s.500fd.com/tt_product/ed5a9fb80db64f708839d86b8d14421a~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY Belleza,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,2134,36.01%,3779,437070,240874,2025/7/20 7:05,20722,https://shop.tiktok.com/view/product/1731917864076477815?region=MX&local=en,在售
"Ice Face Roller, 1 Count Reusable Ice Face Roller, Facial Beauty Ice Roller, Silicone Ice Face Cube, Face Massager, Skincare Tool for Face Beauty",https://s.500fd.com/tt_product/afe277ae4bcc4ea49eca143955a1e36e~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,MTTAOJY,$48.34 ,MX,美妆个护-美容护肤-面部护理工具,8%,2053,-44.06%,5888,208202.39,93668.51,2025/7/31 7:35,7609,https://shop.tiktok.com/view/product/1731906129425040551?region=MX&local=en,在售
"WEUD Crema Hidratante Extrema Youth Formula 100 g con Colágeno, Niacinamida, Centella Asiática y Ácido Hialurónico",https://s.500fd.com/tt_product/2c0a4e161cfd4648acc4fbc6d449d926~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD MX,$228.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,20%,1892,0.37%,6904,1566468.2,411555.2,2025/5/14 0:36,141574,https://shop.tiktok.com/view/product/1731350351672870834?region=MX&local=en,在售
"Barra nasal para roncar, 1 set incluye 1 caja de dispositivo magnético para roncar y 1 caja de parche magnético, herramienta de alivio del roncar, productos para ayudar a dormir para hombres y mujeres",https://s.500fd.com/tt_product/8b52bcbd588d46f08a787c8a6933f4d3~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Hualijia TTshop,$185.61 ,MX,美妆个护-美容护肤-面部护理工具,-,1797,456.35%,2687,410527.31,297562.03,2025/5/11 6:50,2930,https://shop.tiktok.com/view/product/1732229767723583800?region=MX&local=en,在售
"QUARXERY Gel exfoliante suave 50 g: Exfolia las células muertas de la piel del rostro, limpia los poros en profundidad y minimiza su apariencia.",https://s.500fd.com/tt_product/1e69906c8fc249deb45e364447e4266b~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,BEAUTY - MX,$199.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,1783,-,2057,380063,331088.6,2025/9/1 0:52,3450,https://shop.tiktok.com/view/product/1732193600169346340?region=MX&local=en,在售
PAPA FEEL 3X Retinol Crema Facial 30g Antiarrugas yhidratante para Todo Tipo de Piel con Distribución Uniformedel Tono y Piel Radiante ApplyRe-generate,https://s.500fd.com/tt_product/4c880ef8c6374c5bb7d2e49258ed79d3~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,PAPA FEEL MX,$258.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,-,1664,1412.73%,1822,538452,475410,2025/8/29 9:50,48173,https://shop.tiktok.com/view/product/1732319240037238738?region=MX&local=en,在售
【D】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/fd8483a3510f402199be06d66b7e6f2b~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY SKINCARE MX,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,20%,1558,31.92%,3386,557658.9,162282,2025/4/26 0:20,33542,https://shop.tiktok.com/view/product/1731218052656694548?region=MX&local=en,在售
"VOGIRLOG Kit 6 Piezas Skincare Básico de Cuidado de la Piel para Todo Tipo de Piel | Ácido Hialurónico, Extracto de Rosa, Vitamina E y C, Niacinamida",https://s.500fd.com/tt_product/52501ce1805a4558adacfce9e57ae7fc~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Vogirlog Oficial,$292.00 ,MX,美妆个护-美容护肤-面部护理套装,20%,1555,1796.34%,4180,1137084.95,441574,2025/2/8 17:02,28565,https://shop.tiktok.com/view/product/1731793090908358679?region=MX&local=en,在售
"Mascarilla Lanbena para Puntos Negros con Extracto de Aloe Vera y 60 Tiras Nasales, Adecuada para Todo Tipo de Piel,Regalos para el Día de la Madre ,Mamá",https://s.500fd.com/tt_product/a96292566acd4e408d86194a2fa1f270~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Slickzee,$198.98 ,MX,美妆个护-美容护肤-鼻部护理,10%,1428,14.61%,8958,1759539.85,284143.44,2025/2/20 15:54,42843,https://shop.tiktok.com/view/product/1731799067657341041?region=MX&local=en,已下架
Cinta de silicona（Lleva 4 y paga 3） - Cinta de silicona reutilizable (rollo de 1.6“ x60”)-No irrita la piel - Mejora la hidratación de la piel,https://s.500fd.com/tt_product/8c1bc4b5b9284ac2ba5a18167631d398~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,MOPOYAT,$258.99 ,MX,美妆个护-美容护肤-面部护理套装,1%,1412,88.77%,4226,1236501.23,366714.9,2025/5/26 5:16,7204,https://shop.tiktok.com/view/product/1731260858145015257?region=MX&local=en,在售
Lip Oil Fresa (Aumenta Labios),https://s.500fd.com/tt_product/163683f84d134a97a8f8b1425a7759d2~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Diana Fletes Cosmetics,$99.00 ,MX,美妆个护-美容护肤-唇部护理,-,1396,69700%,1441,126754.65,122967.9,2025/8/31 1:45,22038,https://shop.tiktok.com/view/product/1731509973764703757?region=MX&local=en,在售
【CC】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/ece3faa79ca64eaba7229c981b3458ca~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY MEXICO,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,1325,5.08%,7682,1380658,135885,2025/6/20 12:39,180235,https://shop.tiktok.com/view/product/1731424858146047369?region=MX&local=en,在售
"Ácido glicólico 7% solución tonizante 8,44 Fl Oz, ácido gliclico 7% tóner exfoli, solución tonitonizante de ácido gliclico, rejuvenecer la piel (240ML)Regalos para el Día de la Madre ,Mamá",https://s.500fd.com/tt_product/c62f9b1607694b738b929db34e7f436d~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Slickzee,$298.00 ,MX,美妆个护-美容护肤-爽肤水、化妆水,10%,1323,175.05%,4709,967196.51,261940.77,2025/3/7 3:02,42843,https://shop.tiktok.com/view/product/1731888876906252401?region=MX&local=en,在售
"WEUD Crema hidratante definitiva Youth Formula (100g) / colágeno, niacinamida, centella asiática, ácido hialurónico / arrugas, manchas oscuras, cuidado de la piel",https://s.500fd.com/tt_product/22a229258e8449a8808e0c64f680492f~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD,$228.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,20%,1322,1.46%,4238,947939,286500,2025/6/19 8:25,23196,https://shop.tiktok.com/view/product/1731578519032596048?region=MX&local=en,在售
【DD】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/43124100e2f3449caa8c130758ec0467~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY MEXICO,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,1251,-29.48%,7130,1271854,129099,2025/6/20 12:39,180235,https://shop.tiktok.com/view/product/1731425030813746569?region=MX&local=en,在售
"Winland Aspirador de puntos negros eléctrico, herramienta limpiadora de puntos negros",https://s.500fd.com/tt_product/4eb1cb04e20c459a9e3c59b7159e7f89~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,winland.mx,$188.00 ,MX,美妆个护-美容护肤-面部护理工具,10%,1250,-32.94%,3927,724797,231112,2025/3/13 1:28,19217,https://shop.tiktok.com/view/product/1731983589526833426?region=MX&local=en,在售
"WEUD Set de Cuidado Facial Juvenil – Crema Hidratante (100 mL) + Crema Revitalizante para Ojos y Cuello (40 mL) + Sérum Hidratante Renovador (s) (con CICA, Ácido Hialurónico, Péptidos, Propóleo) / Para arrugas, manchas oscuras, hidratación y nutrición, ap",https://s.500fd.com/tt_product/309e130defd741b8b768b2dc9199d38a~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD MX,$598.00 ,MX,美妆个护-美容护肤-面部护理套装,-,1244,1329.89%,1340,765200.8,707792.8,2025/8/26 4:26,141574,https://shop.tiktok.com/view/product/1732281612558501810?region=MX&local=en,在售
"WEUD Suero(s) Renovador Hidratante Con CICA, Ácido Hialurónico, Péptidos y Propóleo Para piel seca y arrugas",https://s.500fd.com/tt_product/fdf22bd5dd1c467f8f547200ecb3cd73~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD MX,$389.00 ,MX,美妆个护-美容护肤-面部精华液,20%,1171,-58.34%,8599,2238631,453367,2025/6/12 6:19,141574,https://shop.tiktok.com/view/product/1731598532693952434?region=MX&local=en,在售
【AB】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/4b52f2076d9f46e39f7924c97a52e7f2~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY MEXICO,$199.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,1138,28.01%,28614,6758316.4,127122,2025/3/23 18:15,180235,https://shop.tiktok.com/view/product/1732116826989037961?region=MX&local=en,在售
Fotosun UV 100 Adaptive Color Protector Solar SPF 50+ 60 ml,https://s.500fd.com/tt_product/171293ea2f3747cb94f473003e6286b4~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,FOTOSUNMX,$149.00 ,MX,美妆个护-美容护肤-脸部防晒霜与晒后修复,10%,1106,-24.56%,5275,775269.3,147998.6,2025/2/17 15:20,9769,https://shop.tiktok.com/view/product/1731760380509457094?region=MX&local=en,在售
【H】QUARXERY Gel Exfoliante Suave para una Limpieza Profunda 50g,https://s.500fd.com/tt_product/f116206439c34f1e9ea9c70aa95ffbbb~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY SKINCARE MX,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,12%,1071,27.20%,10257,1955389.7,111609,2025/5/19 15:05,33542,https://shop.tiktok.com/view/product/1731432566354511124?region=MX&local=en,在售
Limpiador Facial BISUTANG con Cúrcuma y Vitamina C – Espuma Iluminadora con Cepillo de Silicona,https://s.500fd.com/tt_product/8e70acbb02c743b0a7c87627f12a470b~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,Novaea,$99.90 ,MX,美妆个护-美容护肤-洗面乳,-,1030,-,1082,109051.1,102915.1,2025/8/29 2:21,3479,https://shop.tiktok.com/view/product/1731577262800274728?region=MX&local=en,在售
Set Bioaqua Vitamina C y Naranja – Hidratación y Luminosidad para el Cuidado Facial Diario,https://s.500fd.com/tt_product/9eab391fa66843fa88afe6ae64bea4fa~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,SLIM COMPANY,$249.00 ,MX,美妆个护-美容护肤-面部护理套装,-,1026,-,1106,275221,255531,2025/3/10 20:14,19070,https://shop.tiktok.com/view/product/1731980735632083133?region=MX&local=en,在售
"WEUD Suero(s) Renovador Hidratante Con CICA, Ácido Hialurónico, Péptidos y Propóleo Para piel seca y arrugas",https://s.500fd.com/tt_product/19964c31baf84f8c9c13d85a7a0338f6~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD MX,$389.00 ,MX,美妆个护-美容护肤-面部精华液,20%,1019,-11.62%,3074,948945,388583,2025/6/18 9:20,141574,https://shop.tiktok.com/view/product/1731598737544677298?region=MX&local=en,在售
Corpse Bride X Beauty Creations - Aceite De Labios pH - I Do: Vows,https://s.500fd.com/tt_product/5139e27165b2449c9e31b893fbff9780~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,BEAUTY CREATIONS MX,$157.50 ,MX,美妆个护-美容护肤-唇部护理,-,990,617.39%,1274,197722,153062,2025/6/29 14:00,145197,https://shop.tiktok.com/view/product/1731792044316984948?region=MX&local=en,在售
"Kit Garnier Express Aclara Rutina 3 Pasos Anti Imperfecciones con Niacinamida & +Acido Salicílico  - Gel Limpiador Facial & Crema Hidratante para Pieles Mixta a Grasa (250ml) + Sérum Facial Anti Imperfecciones, Hidratante e Iluminador (30ml) + Crema Hidra",https://s.500fd.com/tt_product/28e3dec47e614fb290b9e83b0a352b4e~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,Garnier MX,$390.00 ,MX,美妆个护-美容护肤-面部护理套装,-,963,689.34%,1090,487925,434659,2025/8/5 13:05,7263,https://shop.tiktok.com/view/product/1732078575166457482?region=MX&local=en,在售
PINK KEY Limpiador Facial Para Piel Seca Rosa DíA De San ValentíN DecoracióN Amor Maquillage Fiesta Playa Viajes Ropa De Vacaciones Y2K Camping Exterior Regalo Rosa Moda Chica CosméTico Cosplay Mejor Viaje Festivales Color Elegante Campus Escuela Encanto,https://s.500fd.com/tt_product/d8b0d5be62d247fea262ab9db005d31e~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Sino Mexicana,$32.00 ,MX,美妆个护-美容护肤-洗面乳,8%,953,163.99%,1583,46409.12,26844.48,2025/6/1 17:14,2361,https://shop.tiktok.com/view/product/1732058818367948999?region=MX&local=en,在售
"Hydrocolloid Acne Patch, 200/ Deep Cleansing Acne Patch, Effective Coverage Acne Patches, Skin Care Gift for Men and Women",https://s.500fd.com/tt_product/93ff75a675c540d3bed810f675415851~tplv-o3syd03w52-origin-jpeg.jpeg,Hoitshy,$34.16 - 54.83,MX,美妆个护-美容护肤-面部护理工具,8%,881,-11.46%,1988,68657.77,39391.62,2025/7/28 9:23,6118,https://shop.tiktok.com/view/product/1731906741621393406?region=MX&local=en,在售
Lip Oil Plumping (Aumenta Labios) Glow,https://s.500fd.com/tt_product/f21d0e2ad3ff40c1a9d805a3e6b8d620~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Diana Fletes Cosmetics,$99.00 ,MX,美妆个护-美容护肤-唇部护理,8%,861,2432.35%,3411,320552.1,75913.2,2025/5/30 7:42,22038,https://shop.tiktok.com/view/product/1731509983676106253?region=MX&local=en,在售
10 Mascarillas Faciales Koreanas con Aroma a Frutas - Perfectas para Hidratación Intensiva,https://s.500fd.com/tt_product/8928c2bb341f4edc88f0bd12d7869f56~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,YUYUFLAY,$50.00 ,MX,美妆个护-美容护肤-面膜,40%,816,47.56%,2757,101063.9,29082.3,2025/3/10 20:13,15450,https://shop.tiktok.com/view/product/1731882067024775246?region=MX&local=en,在售
PAPA FEEL Ultra 5A Retinol Crema Facial 50g Antiarrugas Anti-Edad Piel Luminosa Y Joven Para Todo Tipo De Piel,https://s.500fd.com/tt_product/c7489e1e19b64f2cb93b2d6afdee5d9d~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,PAPA FEEL MX,$328.00 ,MX,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,10%,790,1580.85%,839,275643,259531,2025/8/20 0:31,48173,https://shop.tiktok.com/view/product/1732217525470595026?region=MX&local=en,在售
"[OranSee]  Lifting de cara Correa, Cinta de Lifting Facial V Lifting Facial Mask V Línea delgada cara Cinturón Chin Lift Máscara para Hombres y Mujeres,Tejido de licra Doble Chin Cinta suave de alta elástica vendaje de ajuste",https://s.500fd.com/tt_product/916eded9fa9147bdbca41c64ffc9f7d2~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,OranSee,$159.00 ,MX,美妆个护-美容护肤-面部护理工具,-,787,73.73%,1757,263370.1,123705,2025/8/16 16:01,5734,https://shop.tiktok.com/view/product/1731549793941423535?region=MX&local=en,在售
"Dr. Leo Loción Secante 4 en 1 | Ayuda a Mejorar la Apariencia de Imperfecciones | Contribuye a Secar Granos Rápidamente, Controlar Brillo, Afinar Poros y Suavizar Marcas | Ideal para Piel Sensible – 10ml",https://s.500fd.com/tt_product/96d75c8f15094ee18d10b2ea1fb73435~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,Dr.Leo MX,$226.20 ,MX,美妆个护-美容护肤-痘痘、粉刺护理,-,747,99.73%,1476,322964.68,163356.1,2025/6/27 8:27,3824,https://shop.tiktok.com/view/product/1731715535184168341?region=MX&local=en,在售
"Glycolic Acid 7% Exfoliating Toner, Brightening and Smoothing Daily Toner for More Even-Looking Skin Tone,Exfoliante cierre y desbloquee los poros 240ml",https://s.500fd.com/tt_product/e2c756bf759f48f79a5e59afa5ef9e42~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,gerard31,$122.86 ,MX,美妆个护-美容护肤-爽肤水、化妆水,-,729,575%,841,154116.77,124080.12,2025/7/29 9:18,1954,https://shop.tiktok.com/view/product/1732024650837362402?region=MX&local=en,在售
"Febble Bálsamo Labial Hidratante con Manteca de Karité | Brillo Intenso, Color Sutil y Fórmula Ligera para Hidratación Profunda",https://s.500fd.com/tt_product/5ce623444145463298fd8ba3e3e617bf~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Febblecosmeticsmx,$248.00 ,MX,美妆个护-美容护肤-唇部护理,10%,710,-16.27%,2642,522410.6,171545,2025/2/17 16:18,4641,https://shop.tiktok.com/view/product/1731765184437586189?region=MX&local=en,在售
"Ayvanna Rever Crema Contorno de Ojos con Cafeína y Extracto de Algas - Cabezales de Masaje de Hielo Metálico Reducen la Fatiga, las Bolsas y las Ojeras de los Ojos",https://s.500fd.com/tt_product/818b66a4353b4de0bf8901c757fe0799~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,Ayvanna Rever,$178.99 ,MX,美妆个护-美容护肤-眼部护理,18%,669,-41.26%,8929,1687688.16,119744.31,2025/2/8 16:57,46423,https://shop.tiktok.com/view/product/1731753248639387698?region=MX&local=en,在售
WEUD Set Corea 3 Piezas de Cuidado Facial (Sérum Renovador de Péptidos y Própolis + Sérum de Centella Asiática con Ácido Hialurónico + Crema Hidratante) / Hidratación Intensa + Luminosidad + Firmeza,https://s.500fd.com/tt_product/ce8aa9406c054144b9905a297e4dcb66~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,WEUD Belleza,$487.00 ,MX,美妆个护-美容护肤-面部护理套装,-,663,-,907,435849.4,314387.2,2025/9/8 6:09,3460,https://shop.tiktok.com/view/product/1732306377983428497?region=MX&local=en,在售
"XochiGlow Crema para ojos, masaje ocular, hidratante, esencia nutritiva para ojos, aclara arrugas y bolsas de los ojos.",https://s.500fd.com/tt_product/ebd0b7c33b8642d49cbef84111fa38cc~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,MARLUHERTZ4,$89.00 ,MX,美妆个护-美容护肤-眼部护理,-,663,215.71%,876,77964,59007,2025/7/12 0:39,15550,https://shop.tiktok.com/view/product/1731811366154568858?region=MX&local=en,在售
【G】QUARXERY SET DE CUIDADO - Productos Esenciales para el Cuidado de la Piel,https://s.500fd.com/tt_product/19635e3417c7494ea0afcf69ffe24d5e~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,QUARXERY MEXICO,$249.00 ,MX,美妆个护-美容护肤-面部护理套装,1%,663,43.51%,1758,282993,72417,2025/6/19 1:21,180235,https://shop.tiktok.com/view/product/1731638441484191113?region=MX&local=en,在售
REMOVEDOR DE PUNTOS NEGROS PARA SACAR PUNTO NEGRO CON 5 VELOCIDAD PARA PUEDE SACAR EL PUNTO NEGRO SUAVEMENTE  Y DEJA LIMPIA SU ROSTROS,https://s.500fd.com/tt_product/66a1db78c067459eb475c48fd9c05651~tplv-o3syd03w52-resize-jpeg:800:800.jpeg,SANYI SHOP,$108.00 ,MX,美妆个护-美容护肤-面部护理工具,10%,658,477.19%,2000,202072.7,67116,2025/3/21 4:01,9120,https://shop.tiktok.com/view/product/1732088812693392007?region=MX&local=en,在售
"【Promoción de Marca en TikTok】QUARXERY Gel Exfoliante Suave (Formula Actualizada, Más unidades más económicas) - Limpieza Profunda Cara y Cuerpo, Equilibra el agua y la grasa de la piel, Reduce Poros, Ilumina la Tona, Reduce la Acumulación de Pigmentos en la Piel, 50g-A",https://s.500fd.com/tt_product/ed5a9fb80db64f708839d86b8d14421a~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,QUARXERY Belleza,$129.00 ,MX,美妆个护-美容护肤-面部磨砂膏与去角质,-,658,25.57%,1226,137947,68382,2025/7/18 0:18,20722,https://shop.tiktok.com/view/product/1731918866175198583?region=MX&local=en,在售
"(A)Purehana Bloqueador con toque de color FPS 50｜Listo para salir con brillo inmediato｜Protección solar + tono unificado + cuidado de la piel, 3 en 1｜Apto para todo tipo de piel",https://s.500fd.com/tt_product/59d6fa3ef110406b87e1febd88fac248~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,Purehana Skincare Mexico,$272.00 ,MX,美妆个护-美容护肤-脸部防晒霜与晒后修复,10%,633,-12.57%,1480,372104,172176,2025/7/8 5:21,6785,https://shop.tiktok.com/view/product/1731817006462568101?region=MX&local=en,在售
"LANBENA Mascarilla Para Puntos Negros Con 60 Piezas Tiras, Mascarilla Despegable Removedora De Puntos Negros, Mascarilla Facial Purificante Para Plantas De Nariz ,Adecuada para Todo Tipo de Piel",https://s.500fd.com/tt_product/cca8a48f66aa44fe8e85953bb095fbee~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,MexiVerve Store,$197.00 ,MX,美妆个护-美容护肤-鼻部护理,10%,623,510.78%,771,152567.33,122731,2025/7/6 1:09,7447,https://shop.tiktok.com/view/product/1731764660113934179?region=MX&local=en,在售
"YCZ _57Crema para Ojos con Masaje Eléctrico contra Ojeras, Firmeza y Reducción de Líneas Finas, Tratamiento y Cuidado del Contorno de Ojos, Crema Revitalizante con Cafeína, Cuidado de la Piel",https://s.500fd.com/tt_product/3c686028dc744a7ba4695f5f476db628~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg,YCZ make up,$189.99 ,MX,美妆个护-美容护肤-眼部护理,10%,616,-60.44%,5648,1415744.4,142190.8,2025/5/16 2:22,7403,https://shop.tiktok.com/view/product/1731138952035731057?region=MX&local=en,在售
